URN,EstablishmentName,TelephoneNum,HeadFirstName,HeadLastName,type,group,OpenDate,phase,gender,NumberOfPupils,PercentageFSM,trusts,Ofsted,Town,Postcode,region,phase2,region2,numpupils_quintile,fsm_quintile,All
139548,Cornerstone CofE (VA) Primary School,01489660750,Tim,Clarke,Voluntary aided school,LA maintained schools,01-09-2013,Primary,Mixed,128,5.5,,Good,Fareham,PO15 7JH,South East,Primary,Non-London,1,4,All
118697,Monkton Church of England Primary School,01843821394,Wendy,Stone,Voluntary controlled school,LA maintained schools,,Primary,Mixed,107,11.2,,Outstanding,Ramsgate,CT12 4JQ,South East,Primary,Non-London,1,1,All
145028,Admirals Academy,01842753993,S,Dunkley,Academy sponsor led,Academies,01-08-2017,Primary,Mixed,,,EASTERN MULTI-ACADEMY TRUST,,Thetford,IP24 2JT,East of England,Primary,Non-London,1,1,All
123175,Beckley Church of England Primary School,01865351416,Mark,Szortowski,Voluntary controlled school,LA maintained schools,,Primary,Mixed,134,7.5,,Good,Oxford,OX3 9UT,South East,Primary,Non-London,1,5,All
139421,St Mary's Hampton Church of England Primary,02089795102,Matthew,White,Free schools,Free Schools,03-09-2013,Primary,Mixed,119,7.6,HAMPTON ST MARY ACADEMY TRUST,Good,Hampton,TW12 2HP,London,Primary,London,1,5,All
145936,Thornbury Primary Leadership Academy,,Clare,Daddy,Academy converter,Academies,01-04-2018,Primary,Mixed,,,STAR ACADEMIES,,Bradford,BD3 7AU,Yorkshire and the Humber,Primary,Non-London,1,1,All
123399,Stoke-on-Tern Primary School,01630638332,Heather,Russell,Community school,LA maintained schools,,Primary,Mixed,124,9.7,,Good,Market Drayton,TF9 2LF,West Midlands,Primary,Non-London,1,5,All
124166,Oakhill Primary School,01827213960,Peter,Hollis,Community school,LA maintained schools,,Primary,Mixed,136,38.2,,Good,Tamworth,B77 2HH,West Midlands,Primary,Non-London,1,4,All
143957,West Ashton Church of England Primary School,01225754354,Debby,Huxham,Academy sponsor led,Academies,01-02-2017,Primary,Mixed,,,ACORN EDUCATION TRUST,,Trowbridge,BA14 6AZ,South West,Primary,Non-London,1,1,All
144444,Edgar Sewter Community Primary School,01986873194,Katherine,Milk,Academy converter,Academies,01-05-2017,Primary,Mixed,,,ASSET EDUCATION,,Halesworth,IP19 8BU,East of England,Primary,Non-London,1,1,All
115182,Little Hallingbury Church of England Voluntary Aided Primary School,01279723382,Sonia,Strickland,Voluntary aided school,LA maintained schools,,Primary,Mixed,164,6.1,,Requires improvement,Bishop's Stortford,CM22 7RE,East of England,Primary,Non-London,1,5,All
145655,Plaistow Hill Infant and Nursery School,01752365410,Sharon,Burnett,Academy converter,Academies,01-04-2018,Primary,Mixed,,,HORIZON MULTI ACADEMY TRUST,,Plymouth,PL5 2DT,South West,Primary,Non-London,1,1,All
145671,St Peter's Church of England Primary School,01287676210,Richard,Unthank,Academy converter,Academies,01-04-2018,Primary,Mixed,,,GALILEO MULTI ACADEMY TRUST,,Saltburn-by-the-Sea,TS12 2UW,North East,Primary,Non-London,1,1,All
144317,Beeston Primary School,01328701267,Justin,Blocksidge,Academy converter,Academies,01-03-2017,Primary,Mixed,,,UNITY EDUCATION TRUST,,King's Lynn,PE32 2NQ,East of England,Primary,Non-London,1,1,All
113805,"St Gregory's Church of England Primary School, Marnhull",01258820206,Debbie,Field,Voluntary aided school,LA maintained schools,,Primary,Mixed,144,8.3,,Requires improvement,Sturminster Newton,DT10 1PZ,South West,Primary,Non-London,1,5,All
110017,Stockcross C.E. School,01488608356,Katie,Dickens,Voluntary aided school,LA maintained schools,,Primary,Mixed,102,1,,Good,Newbury,RG20 8LD,South East,Primary,Non-London,1,1,All
145610,Lubavitch Girls Primary School,02088000022,Esther,Kesselman,Academy converter,Academies,01-04-2018,Primary,Girls,,,THE LUBAVITCH MULTI-ACADEMY TRUST,,London,N16 5RP,London,Primary,London,1,1,All
145684,Hazel Slade Primary Academy,01543227115,Louise,Brealey,Academy converter,Academies,01-06-2018,Primary,Mixed,,,ST BART'S MULTI ACADEMY TRUST,,Cannock,WS12 0PN,West Midlands,Primary,Non-London,1,1,All
