URN,EstablishmentName,TelephoneNum,HeadFirstName,HeadLastName,type,group,OpenDate,phase,gender,NumberOfPupils,PercentageFSM,trusts,Ofsted,Town,Postcode,region,phase2,region2,numpupils_quintile,fsm_quintile,All
137262,Kepier,01915128960,Nicola,Cooper,Academy converter,Academies,01-08-2011,Secondary,Mixed,1018,24.2,LEARNING MATTERS TRUST LTD.,Good,Houghton le Spring,DH4 5BH,North East,Secondary,Non-London,1,3,All
140524,Bishop Walsh Catholic School,01213513215,Henryk,Koryl,Academy converter,Academies,01-01-2014,Secondary,Mixed,1037,6.4,JOHN PAUL II MULTI-ACADEMY,Good,Sutton Coldfield,B76 1QT,West Midlands,Secondary,Non-London,1,5,All
138360,St Mary's Church of England High School (VA),01992629124,Stephanie,Benbow,Academy converter,Academies,01-07-2012,Secondary,Mixed,1099,11.4,"ST MARY'S CE ACADEMY, CHESHUNT",Good,Waltham Cross,EN7 5FB,East of England,Secondary,Non-London,1,1,All
145398,Ashton Park School,01173772777,N,John,Academy sponsor led,Academies,01-07-2018,Secondary,Mixed,,,GATEHOUSE GREEN LEARNING TRUST,,Bristol,BS3 2JL,South West,Secondary,Non-London,1,1,All
143629,Mulberry School for Girls,02077906327,Vanessa,Ogden,Academy converter,Academies,01-05-2017,Secondary,Girls,,,MULBERRY SCHOOLS TRUST,,London,E1 2JP,London,Secondary,London,1,1,All
146309,Sanders School,01708443068,Neil,Hooper,Academy sponsor led,Academies,01-09-2018,Secondary,Mixed,,,SFAET LTD,,Hornchurch,RM12 6RT,London,Secondary,London,1,1,All
137928,"Gumley House RC Convent School, FCJ",02085688692,Caroline,Braggs,Academy converter,Academies,01-03-2012,Secondary,Girls,1082,8.3,GUMLEY HOUSE CONVENT SCHOOL FCJ,Good,Isleworth,TW7 6XF,London,Secondary,London,1,5,All
136467,Chislehurst School for Girls,02083003156,Karen,Raven,Academy converter,Academies,01-03-2011,Secondary,Girls,1112,9.7,CHISLEHURST SCHOOL FOR GIRLS,Good,Chislehurst,BR7 6HE,London,Secondary,London,1,5,All
137261,John Colet School,01296623348,Partrick,Harty,Academy converter,Academies,01-08-2011,Secondary,Mixed,1012,3.7,JOHN COLET SCHOOL,Good,Aylesbury,HP22 6HF,South East,Secondary,Non-London,1,4,All
134996,Sir John Thursby Community College,01282682313,Rob,Browning,Foundation school,LA maintained schools,01-08-2006,Secondary,Mixed,1062,22.2,Burnley Education Trust,Good,Burnley,BB10 2AT,North West,Secondary,Non-London,1,3,All
